,Company,Origin,REF,ReviewDate,CocoaPercent,CompanyLocation,Rating,BeanType,Country,Blend,Domestic
0,A. Morin,Agua Grande,1876,2016,63.0,France,3.75,Unknown,Sao Tome,0,0
1,A. Morin,Kpime,1676,2015,70.0,France,2.75,Unknown,Togo,0,0
2,A. Morin,Atsane,1676,2015,70.0,France,3.0,Unknown,Togo,0,0
3,A. Morin,Akata,1680,2015,70.0,France,3.5,Unknown,Togo,0,0
4,A. Morin,Quilla,1704,2015,70.0,France,3.5,Unknown,Peru,0,0
5,A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,0,0
6,A. Morin,Cuba,1315,2014,70.0,France,3.5,Unknown,Cuba,0,0
7,A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,0,0
8,A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,0,0
9,A. Morin,Pablino,1319,2014,70.0,France,4.0,Unknown,Peru,0,0
10,A. Morin,Panama,1011,2013,70.0,France,2.75,Unknown,Panama,0,0
11,A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,0,0
12,A. Morin,Brazil,1011,2013,70.0,France,3.25,Unknown,Brazil,0,0
13,A. Morin,Equateur,1011,2013,70.0,France,3.75,Unknown,Ecuador,0,0
14,A. Morin,Colombie,1015,2013,70.0,France,2.75,Unknown,Colombia,0,0
15,A. Morin,Birmanie,1015,2013,70.0,France,3.0,Unknown,Burma,0,0
16,A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,Unknown,Papua New Guinea,0,0
17,A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,0,0
18,A. Morin,Piura,1019,2013,70.0,France,3.25,Unknown,Peru,0,0
19,A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,Unknown,Peru,0,0
20,A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,Unknown,Peru,0,0
21,A. Morin,Bolivia,797,2012,70.0,France,3.5,Unknown,Bolivia,0,0
22,A. Morin,Peru,797,2012,63.0,France,3.75,Unknown,Peru,0,0
23,Acalli,"Chulucanas, El Platanal",1462,2015,70.0,U.S.A.,3.75,Unknown,Peru,1,0
24,Acalli,"Tumbes, Norandino",1470,2015,70.0,U.S.A.,3.75,Criollo,Peru,1,0
25,Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,0,1
26,Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji,1,1
27,Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,0,1
28,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji,1,1
